Taxa,FABL/CBL (mm),CBW (mm),AL (mm),CH (mm),MCL (mm),MCW (mm),MDD(per 5mm),DDD (per 5mm),CBR
Tyrannosaurid,13.21,8.05,17.11,16.74,10.59,6.92,12.82051282,11.36363636,0.609386828
Tyrannosaurid,16.64,10.28,25.7,25.63,9.57,9.24,10.75268817,11.11111111,0.617788462
Tyrannosaurid,11.1,8.08,12.28,10.11,6.89,5.64,13.51351351,10.63829787,0.727927928
Tyrannosaurid,12.39,8.74,29.78,27.71,9.61,5.97,9.900990099,9.900990099,0.705407587
Tyrannosaurid,7.3,3.29,13.75,12.05,6.21,2.7,12.34567901,12.5,0.450684932
Tyrannosaurid,21.18,17.48,38.02,33.19,15.98,13.99,12.04819277,10.98901099,0.825306893
Tyrannosaurid,4.42,2.08,5.7,6.37,3.78,2.14,19.23076923,14.70588235,0.470588235
Tyrannosaurid,6.84,3.49,9.24,8.75,4.85,2.93,13.69863014,16.12903226,0.510233918
Tyrannosaurid,9.55,7.01,15.74,16.07,7.54,4.58,10.1010101,12.65822785,0.734031414
Tyrannosaurid,10.46,7.01,16.95,16.44,8.04,5.2,12.19512195,12.34567901,0.670172084
Dromaeosaurid,5.22,2.36,9.51,8.1,4.43,1.93,25,18.86792453,0.45210728
Dromaeosaurid,5.44,2.29,8.88,8.57,4.47,2.19,12.98701299,14.49275362,0.420955882
Dromaeosaurid,5.12,2.3,7.91,7.42,4.57,2.22,12.5,21.73913043,0.44921875
Dromaeosaurid,4.15,2.08,12.56,12.59,3.35,1.52,15.15151515,17.85714286,0.501204819
Dromaeosaurid,2.99,1.43,4.09,4.18,2.89,1.86,47.61904762,20,0.47826087
Dromaeosaurid,5.73,2.49,12.74,10.6,4.26,1.97,28.57142857,17.24137931,0.434554974
Dromaeosaurid,4.5,2.16,9.53,9.06,3.82,1.74,21.27659574,32.25806452,0.48
Dromaeosaurid,4.32,1.92,7.91,6.35,3.29,1.48,17.24137931,35.71428571,0.444444444
Dromaeosaurid,4.14,1.82,7.73,6.81,3.24,1.55,18.86792453,22.72727273,0.439613527
Dromaeosaurid,2.9,1.83,5.59,5.42,2.71,1.39,26.31578947,18.18181818,0.631034483
Troodontid,5.03,3.07,8.02,6.8,3.91,1.94,7.407407407,10.20408163,0.610337972
Troodontid,4.79,2.05,6,6.11,3.79,1.62,19.60784314,13.33333333,0.427974948
Troodontid,3.69,1.83,6.29,5.65,3.42,1.41,14.28571429,15.625,0.495934959
Troodontid,4.73,2.81,6.71,6.78,3.42,1.81,7.874015748,10.75268817,0.594080338
Troodontid,3.83,2.92,6.98,7.28,3.28,1.96,7.462686567,5.235602094,0.762402089
Troodontid,5.13,2.57,8.59,6.96,3.35,1.77,7.633587786,11.9047619,0.500974659
Troodontid,4.77,2.44,7.92,6.84,4.31,1.68,12.19512195,10.98901099,0.511530398
Troodontid,5.13,2.28,7.94,6.02,4.22,1.78,19.60784314,10.63829787,0.444444444
Troodontid,3.62,1.65,5.27,3.79,2.35,1.4,7.518796992,14.49275362,0.455801105
Troodontid,1.86,1.09,2.94,2.72,1.81,0.65,15.87301587,11.49425287,0.586021505
Ankylosaurid,3.66,2.6,3.74,4.03,2.84,1.7,6.756756757,7.246376812,0.710382514
Ankylosaurid,3.84,2.53,4.49,4.48,2.82,2.43,7.874015748,7.246376812,0.658854167
Ankylosaurid,4.6,1.93,5,4.25,4.08,2.03,6.024096386,7.299270073,0.419565217
Ankylosaurid,4.76,2.45,5.75,4.67,4.37,1.82,7.751937984,10.20408163,0.514705882
Ankylosaurid,4.44,2.52,5.49,5.35,3.8,1.23,7.142857143,9.090909091,0.567567568
Ankylosaurid,5.15,2.56,5.33,5.68,3.69,1.87,4.95049505,7.092198582,0.497087379
Ankylosaurid,5.6,3.07,5.75,6.08,3.79,2.28,6.134969325,3.745318352,0.548214286
Ankylosaurid,5.3,2.68,6.26,6.52,4.33,2.35,5.347593583,5.281690141,0.505660377
Ankylosaurid,5.13,2.89,5.65,4.73,3.82,2.31,5.154639175,5.847953216,0.563352827
Ankylosaurid,3.98,3.95,5.28,5.75,4.88,2.59,8.130081301,5.882352941,0.992462312
Nodosaurid,7.45,3.81,6.87,6.95,5.06,1.87,4.366812227,5.405405405,0.511409396
Nodosaurid,7.05,3.16,8.14,6.66,4.04,2.57,3.289473684,3.546099291,0.44822695
Nodosaurid,10.54,4.14,9.18,8.42,7.72,2.27,3.6900369,4.62962963,0.392789374
Nodosaurid,11.79,5.52,12.51,11.88,8.06,2.97,2.304147465,3.472222222,0.468193384
Nodosaurid,8.2,5.27,9.5,9.49,4.51,2.59,3.105590062,6.535947712,0.642682927
Nodosaurid,9.13,4.59,9,8.65,7.61,2.75,3.289473684,4.62962963,0.502738226
Nodosaurid,6.94,3.79,7,6.3,5.51,2.62,4.761904762,9.174311927,0.54610951
Nodosaurid,10.58,5.85,7.36,7.28,8.66,4.2,3.225806452,3.267973856,0.552930057
Nodosaurid,10.24,4.44,10.45,8.51,8.29,3.43,2.747252747,4,0.43359375
Nodosaurid,8.47,2.83,7.32,7.95,6.64,1.34,4.115226337,4.237288136,0.334120425
Pachycephalosaurid,4.12,2.85,5.42,5.4,3.04,2.24,4.201680672,9.090909091,0.691747573
Pachycephalosaurid,3.95,2.89,3.83,3.6,2.75,1.81,6.211180124,10.52631579,0.73164557
Pachycephalosaurid,2.91,1.69,4.33,3.78,2.43,1.51,8.196721311,15,0.580756014
Pachycephalosaurid,2.83,1.94,5.29,4.93,2.83,1.89,8.333333333,5.813953488,0.685512368
Pachycephalosaurid,2.74,1.72,4.26,4.49,2.52,1.66,11.11111111,11.23595506,0.627737226
Thescelosaurid,2.84,2.1,3.96,3.62,3.19,1.73,5.434782609,9.433962264,0.73943662
