Collection #,Family,FABL/CBL (mm),CBW (mm),AL (mm),CH (mm),MCL (mm),MCW (mm),MDD (per mm),DDD (per mm)
tmp1985.58.30.0120083,tyrannosaurid,13.21,8.05,17.11,16.74,10.59,6.92,2/0.78,N/PRESERV
TMP2025.012.0083,,16.64,10.28,25.7,25.63,9.57,9.24,2/0.93,N/PRESERV
TMP1985.16.2136,,11.1,8.08,12.28,10.11,6.89,5.64,2/0.74,2/0.94
TMP1971.14.576,,12.39,8.74,29.78,27.71,9.61,5.97,2/1.01,2/1.01
TMP1985.58.66,,7.3,3.29,13.75,12.05,6.21,2.7,2/0.81,2/0.80
TMP1986.36.372,,21.18,17.48,38.02,33.19,15.98,13.99,N/PRESERV,2/0.91
TMP1982.20.464,,4.42,2.08,5.7,6.37,3.78,2.14,2.0.52,2/0.68
TMP1982.20.464,,6.84,3.49,9.24,8.75,4.85,2.93,2/0.73,2/0.62
TMP1989.84.54,,9.55,7.01,15.74,16.07,7.54,4.58,2/0.99,2/0.79
TMP1979.8.716,,10.46,7.01,16.95,16.44,8.04,5.2,2/0.82,2/0.81
TMP1980.16.1093,dromaeosaurid,5.22,2.36,9.51,8.1,4.43,1.93,2/0.40,2.0.53
TMP1979.8.565,,5.44,2.29,8.88,8.57,4.47,2.19,2/0.77,2/0.69
TMP1979.8.1164,,5.12,2.3,7.91,7.42,4.57,2.22,N/PRESERV,2/0.46
TMP1979.8.1161,,4.15,2.08,12.56,12.59,3.35,1.52,2/0.66,2/0.56
TMP1980.16.898,,2.99,1.43,4.09,4.18,2.89,1.86,2/0.21,2/0.50
TMP1979.8.464,,5.73,2.49,12.74,10.6,4.26,1.97,2/0.35,2/0.58
TMP1980.16.2093,,4.5,2.16,9.53,9.06,3.82,1.74,2/0.47,2/0.31
TMP1979.8.324,,4.32,1.92,7.91,6.35,3.29,1.48,N/PRESERV,2/0.28
TMP.8.1181,,4.14,1.82,7.73,6.81,3.24,1.55,2/0.53,2/0.44
TMP1979.8.1165,,2.9,1.83,5.59,5.42,2.71,1.39,2/0.38,2/0.55
TMP198336.214,troodontid,5.03,3.07,8.02,6.8,3.91,1.94,2/1.35,2/0.98
TMP1984.92.271,,4.79,2.05,6,6.11,3.79,1.62,2/0.51,2/0.75
TMP1982.20.459,,3.69,1.83,6.29,5.65,3.42,1.41,2/0.70,2/0.64
TMP1981.16.479,,4.73,2.81,6.71,6.78,3.42,1.81,2/1.27,2/0.93
TMP1983.36.215,,3.83,2.92,6.98,7.28,3.28,1.96,2/1.34,2/1.01
TMP1981.16.687,,5.13,2.57,8.59,6.96,3.35,1.77,N/PRESERV,2/0.84
TP1986.32.66,,4.77,2.44,7.92,6.84,4.31,1.68,2/0.82,2/0.91
TMP1979.8.1171,,5.13,2.28,7.94,6.02,4.22,1.78,2/0.51,2/0.94
TMP1986.8.93,,3.62,1.65,5.27,3.79,2.35,1.4,N/PRESERV,2/0.69
TMP1986.54.66,,1.86,1.09,2.94,2.72,1.81,0.65,2/0.64,2/0.87
TMP1989.76.59,Ankylosaurid,3.66,2.6,3.74,4.03,2.84,1.7,2/1.48,2/1.38
TMP1987.46.47,,3.84,2.53,4.49,4.48,2.82,2.43,2/1.27,2/1.38
TMP1980.16.239,,4.6,1.93,5,4.25,4.08,2.03,2/1.66,2/1.37
RMP.1983.36.9,,4.76,2.45,5.75,4.67,4.37,1.82,2/1.29,2/0.98
,,4.44,2.52,5.49,5.35,3.8,1.23,2/1.40,2/1.10
,,5.15,2.56,5.33,5.68,3.69,1.87,2/2.02,2/1.41
,,5.6,3.07,5.75,6.08,3.79,2.28,N/PRESERV,2/2.67
TMP1981.16.484,,3.98,3.95,5.28,5.75,4.88,2.59,2/1.23,2/1.7
TMP1983.36.25,NODOSAURID,7.45,3.81,6.87,6.95,5.06,1.87,2/2/2.29,2/1.85
TMP2002.12.135,,7.05,3.16,8.14,6.66,4.04,2.57,2/3.04,2/2.82
TMP1984.92.178,,10.54,4.14,9.18,8.42,7.72,2.27,2/2.72,2/2.16
TMP1987.72.14,,11.79,5.52,12.51,11.88,8.06,2.97,2/4.34,2/2.88
TMP1984.92.18,,8.2,5.27,9.5,9.49,4.51,2.59,2/3.22,2/1.53
"TMP2025,12.93",,9.13,4.59,9,8.65,7.61,2.75,2/3.04,2/2.16
,,6.94,3.79,7,6.3,5.51,2.62,2/2.10,2/1.09
TMP1981.16.269,,10.58,5.85,7.36,7.28,8.66,4.2,2/3.10,2/3.06
TMP1981.41.26,,10.24,4.44,10.45,8.51,8.29,3.43,2/3.64,2/2.8
,,8.47,2.83,7.32,7.95,6.64,1.34,2/2.43,2/2.36
tmp1980.16.834,pachycephalosaurid,4.12,2.85,5.42,5.4,3.04,2.24,2/1.38,2/1.10
TMP1988.36.23,,3.95,2.89,3.83,3.6,2.75,1.81,2/1.61,2/0.95
TMP1987.63.12,HYPSILO,2.84,2.1,3.96,3.62,3.19,1.73,2/1.84,1/1.06
