Taxa 1,Taxa 2,pseudo-F,p-value,significant
Tyrannosaurid,Dromaeosaurid,9.1125,0.0002,yes
Tyrannosaurid,Troodontid,2.9913,0.0423,yes
Tyrannosaurid,Ankylosaurid,5.4962,0.0013,yes
Tyrannosaurid,Nodosaurid,22.0415,0.0001,yes
Tyrannosaurid,Pachycephalosaurid,1.5264,0.199,no
Tyrannosaurid,Thescelosaurid,2.4316,0.0888,no
Dromaeosaurid,Troodontid,6.1666,0.0001,yes
Dromaeosaurid,Ankylosaurid,18.0747,0.0001,yes
Dromaeosaurid,Nodosaurid,36.561,0.0001,yes
Dromaeosaurid,Pachycephalosaurid,12.3179,0.0004,yes
Dromaeosaurid,Thescelosaurid,6.5998,0.0965,no
Troodontid,Ankylosaurid,4.63,0.0019,yes
Troodontid,Nodosaurid,15.59,0.0001,yes
Troodontid,Pachycephalosaurid,4.2498,0.0121,yes
Troodontid,Thescelosaurid,3.6286,0.0881,no
Ankylosaurid,Nodosaurid,7.1858,0.0003,yes
Ankylosaurid,Pachycephalosaurid,2.0778,0.0981,no
Ankylosaurid,Thescelosaurid,1.6245,0.1813,no
Nodosaurid,Pachycephalosaurid,13.8677,0.0003,yes
Nodosaurid,Thescelosaurid,5.9662,0.0887,no
Pachycephalosaurid,Thescelosaurid,1.0609,0.4992,no
